"","date","daily_vaccines"
"1","2023-08-14","[[0.035832],[0.050281],[0.022862],[0.004703],[0.015285]]"
"2","2023-08-15","[[0.001194],[0.001387],[0.000551],[0.000259],[0.000689]]"
"3","2023-08-16","[[0.001232],[0.001422],[0.000563],[0.000273],[0.000719]]"
"4","2023-08-17","[[0.00127],[0.001457],[0.000576],[0.000288],[0.000751]]"
"5","2023-08-18","[[0.00131],[0.001493],[0.000588],[0.000303],[0.000784]]"
"6","2023-08-19","[[0.00135],[0.00153],[0.000601],[0.00032],[0.000818]]"
"7","2023-08-20","[[0.001392],[0.001567],[0.000615],[0.000337],[0.000854]]"
"8","2023-08-21","[[0.001435],[0.001605],[0.000628],[0.000355],[0.000891]]"
"9","2023-08-22","[[0.001479],[0.001644],[0.000642],[0.000374],[0.00093]]"
"10","2023-08-23","[[0.001524],[0.001683],[0.000656],[0.000394],[0.00097]]"
"11","2023-08-24","[[0.00157],[0.001723],[0.000671],[0.000415],[0.001012]]"
"12","2023-08-25","[[0.001617],[0.001764],[0.000685],[0.000438],[0.001056]]"
"13","2023-08-26","[[0.001665],[0.001805],[0.0007],[0.000461],[0.001101]]"
"14","2023-08-27","[[0.001715],[0.001847],[0.000715],[0.000486],[0.001148]]"
"15","2023-08-28","[[0.001766],[0.00189],[0.000731],[0.000511],[0.001197]]"
"16","2023-08-29","[[0.001818],[0.001933],[0.000746],[0.000538],[0.001248]]"
"17","2023-08-30","[[0.001871],[0.001977],[0.000762],[0.000567],[0.001301]]"
"18","2023-08-31","[[0.001925],[0.002021],[0.000778],[0.000597],[0.001356]]"
"19","2023-09-01","[[0.00198],[0.002066],[0.000795],[0.000628],[0.001413]]"
"20","2023-09-02","[[0.002037],[0.002112],[0.000811],[0.000661],[0.001473]]"
"21","2023-09-03","[[0.002095],[0.002158],[0.000828],[0.000696],[0.001534]]"
"22","2023-09-04","[[0.002154],[0.002205],[0.000845],[0.000732],[0.001598]]"
"23","2023-09-05","[[0.002214],[0.002252],[0.000863],[0.00077],[0.001664]]"
"24","2023-09-06","[[0.002276],[0.0023],[0.00088],[0.000809],[0.001733]]"
"25","2023-09-07","[[0.002338],[0.002348],[0.000898],[0.000851],[0.001804]]"
"26","2023-09-08","[[0.002402],[0.002397],[0.000917],[0.000895],[0.001877]]"
"27","2023-09-09","[[0.002467],[0.002446],[0.000935],[0.00094],[0.001953]]"
"28","2023-09-10","[[0.002533],[0.002495],[0.000954],[0.000988],[0.002032]]"
"29","2023-09-11","[[0.0026],[0.002545],[0.000973],[0.001038],[0.002113]]"
"30","2023-09-12","[[0.002668],[0.002596],[0.000992],[0.00109],[0.002197]]"
"31","2023-09-13","[[0.002738],[0.002646],[0.001011],[0.001144],[0.002284]]"
"32","2023-09-14","[[0.002808],[0.002697],[0.001031],[0.001201],[0.002374]]"
"33","2023-09-15","[[0.002879],[0.002749],[0.001051],[0.00126],[0.002466]]"
"34","2023-09-16","[[0.002952],[0.0028],[0.001071],[0.001321],[0.002562]]"
"35","2023-09-17","[[0.003025],[0.002852],[0.001092],[0.001385],[0.00266]]"
