"","date","daily_vaccines"
"1","2023-08-14","[[0.041673],[0.058477],[0.026588],[0.00547],[0.017776]]"
"2","2023-08-15","[[0.001389],[0.001613],[0.00064],[0.000301],[0.000801]]"
"3","2023-08-16","[[0.001432],[0.001654],[0.000655],[0.000317],[0.000836]]"
"4","2023-08-17","[[0.001477],[0.001695],[0.000669],[0.000335],[0.000873]]"
"5","2023-08-18","[[0.001523],[0.001737],[0.000684],[0.000353],[0.000911]]"
"6","2023-08-19","[[0.00157],[0.001779],[0.0007],[0.000372],[0.000951]]"
"7","2023-08-20","[[0.001619],[0.001823],[0.000715],[0.000392],[0.000993]]"
"8","2023-08-21","[[0.001669],[0.001867],[0.000731],[0.000413],[0.001036]]"
"9","2023-08-22","[[0.00172],[0.001912],[0.000747],[0.000435],[0.001081]]"
"10","2023-08-23","[[0.001772],[0.001958],[0.000763],[0.000459],[0.001128]]"
"11","2023-08-24","[[0.001826],[0.002004],[0.00078],[0.000483],[0.001177]]"
"12","2023-08-25","[[0.001881],[0.002051],[0.000797],[0.000509],[0.001228]]"
"13","2023-08-26","[[0.001937],[0.002099],[0.000814],[0.000536],[0.00128]]"
"14","2023-08-27","[[0.001994],[0.002148],[0.000832],[0.000565],[0.001335]]"
"15","2023-08-28","[[0.002053],[0.002198],[0.00085],[0.000595],[0.001392]]"
"16","2023-08-29","[[0.002114],[0.002248],[0.000868],[0.000626],[0.001452]]"
"17","2023-08-30","[[0.002176],[0.002299],[0.000886],[0.000659],[0.001513]]"
"18","2023-08-31","[[0.002239],[0.002351],[0.000905],[0.000694],[0.001577]]"
"19","2023-09-01","[[0.002303],[0.002403],[0.000924],[0.000731],[0.001644]]"
"20","2023-09-02","[[0.002369],[0.002456],[0.000943],[0.000769],[0.001713]]"
"21","2023-09-03","[[0.002436],[0.00251],[0.000963],[0.000809],[0.001784]]"
"22","2023-09-04","[[0.002505],[0.002564],[0.000983],[0.000851],[0.001858]]"
"23","2023-09-05","[[0.002575],[0.002619],[0.001003],[0.000895],[0.001935]]"
"24","2023-09-06","[[0.002647],[0.002675],[0.001024],[0.000941],[0.002015]]"
"25","2023-09-07","[[0.002719],[0.002731],[0.001045],[0.00099],[0.002097]]"
"26","2023-09-08","[[0.002794],[0.002787],[0.001066],[0.00104],[0.002183]]"
"27","2023-09-09","[[0.002869],[0.002845],[0.001087],[0.001093],[0.002271]]"
"28","2023-09-10","[[0.002946],[0.002902],[0.001109],[0.001149],[0.002363]]"
"29","2023-09-11","[[0.003024],[0.00296],[0.001131],[0.001207],[0.002458]]"
"30","2023-09-12","[[0.003103],[0.003019],[0.001154],[0.001267],[0.002555]]"
"31","2023-09-13","[[0.003184],[0.003078],[0.001176],[0.00133],[0.002657]]"
"32","2023-09-14","[[0.003266],[0.003137],[0.001199],[0.001396],[0.002761]]"
"33","2023-09-15","[[0.003349],[0.003197],[0.001223],[0.001465],[0.002868]]"
"34","2023-09-16","[[0.003433],[0.003257],[0.001246],[0.001537],[0.002979]]"
"35","2023-09-17","[[0.003518],[0.003317],[0.00127],[0.001611],[0.003094]]"
"36","2023-09-18","[[0.003604],[0.003377],[0.001294],[0.001689],[0.003211]]"
"37","2023-09-19","[[0.003691],[0.003437],[0.001318],[0.00177],[0.003333]]"
"38","2023-09-20","[[0.003779],[0.003498],[0.001343],[0.001853],[0.003457]]"
"39","2023-09-21","[[0.003868],[0.003558],[0.001368],[0.00194],[0.003585]]"
"40","2023-09-22","[[0.003958],[0.003619],[0.001393],[0.002031],[0.003716]]"
"41","2023-09-23","[[0.004048],[0.003679],[0.001418],[0.002124],[0.003851]]"
"42","2023-09-24","[[0.00414],[0.003739],[0.001443],[0.002221],[0.003989]]"
"43","2023-09-25","[[0.004231],[0.003799],[0.001469],[0.002321],[0.004131]]"
"44","2023-09-26","[[0.004323],[0.003859],[0.001495],[0.002424],[0.004275]]"
"45","2023-09-27","[[0.004415],[0.003919],[0.001521],[0.002531],[0.004423]]"
"46","2023-09-28","[[0.004508],[0.003978],[0.001548],[0.00264],[0.004574]]"
"47","2023-09-29","[[0.004601],[0.004036],[0.001574],[0.002753],[0.004728]]"
"48","2023-09-30","[[0.004694],[0.004094],[0.001601],[0.002869],[0.004885]]"
"49","2023-10-01","[[0.004787],[0.004152],[0.001628],[0.002988],[0.005045]]"
"50","2023-10-02","[[0.004879],[0.004209],[0.001655],[0.00311],[0.005207]]"
"51","2023-10-03","[[0.004972],[0.004265],[0.001682],[0.003235],[0.005371]]"
"52","2023-10-04","[[0.005063],[0.00432],[0.001709],[0.003363],[0.005538]]"
"53","2023-10-05","[[0.005155],[0.004375],[0.001737],[0.003492],[0.005707]]"
"54","2023-10-06","[[0.005246],[0.004429],[0.001764],[0.003624],[0.005878]]"
"55","2023-10-07","[[0.005335],[0.004481],[0.001792],[0.003758],[0.00605]]"
"56","2023-10-08","[[0.005424],[0.004533],[0.001819],[0.003894],[0.006223]]"
"57","2023-10-09","[[0.005512],[0.004583],[0.001847],[0.004032],[0.006398]]"
"58","2023-10-10","[[0.005599],[0.004633],[0.001875],[0.00417],[0.006573]]"
"59","2023-10-11","[[0.005684],[0.004681],[0.001902],[0.004309],[0.006749]]"
"60","2023-10-12","[[0.005768],[0.004727],[0.00193],[0.004449],[0.006924]]"
"61","2023-10-13","[[0.00585],[0.004772],[0.001958],[0.004589],[0.0071]]"
"62","2023-10-14","[[0.00593],[0.004816],[0.001985],[0.004728],[0.007274]]"
"63","2023-10-15","[[0.006009],[0.004858],[0.002013],[0.004867],[0.007448]]"
"64","2023-10-16","[[0.006085],[0.004899],[0.002041],[0.005004],[0.00762]]"
"65","2023-10-17","[[0.006159],[0.004938],[0.002068],[0.00514],[0.00779]]"
"66","2023-10-18","[[0.00623],[0.004975],[0.002095],[0.005273],[0.007957]]"
"67","2023-10-19","[[0.006299],[0.00501],[0.002122],[0.005404],[0.008122]]"
"68","2023-10-20","[[0.006366],[0.005044],[0.002149],[0.005531],[0.008284]]"
"69","2023-10-21","[[0.006429],[0.005075],[0.002176],[0.005654],[0.008441]]"
"70","2023-10-22","[[0.00649],[0.005105],[0.002203],[0.005773],[0.008595]]"
"71","2023-10-23","[[0.006547],[0.005133],[0.002229],[0.005887],[0.008744]]"
"72","2023-10-24","[[0.006602],[0.005158],[0.002255],[0.005996],[0.008887]]"
"73","2023-10-25","[[0.006653],[0.005182],[0.002281],[0.006099],[0.009025]]"
"74","2023-10-26","[[0.0067],[0.005203],[0.002307],[0.006195],[0.009157]]"
"75","2023-10-27","[[0.006744],[0.005222],[0.002332],[0.006284],[0.009283]]"
"76","2023-10-28","[[0.006785],[0.005239],[0.002357],[0.006365],[0.009401]]"
"77","2023-10-29","[[0.006821],[0.005254],[0.002381],[0.006439],[0.009512]]"
"78","2023-10-30","[[0.006854],[0.005267],[0.002405],[0.006504],[0.009615]]"
"79","2023-10-31","[[0.006883],[0.005277],[0.002429],[0.006561],[0.00971]]"
"80","2023-11-01","[[0.006908],[0.005285],[0.002452],[0.006609],[0.009797]]"
"81","2023-11-02","[[0.006929],[0.00529],[0.002475],[0.006647],[0.009874]]"
"82","2023-11-03","[[0.006946],[0.005294],[0.002498],[0.006676],[0.009943]]"
"83","2023-11-04","[[0.006959],[0.005294],[0.002519],[0.006696],[0.010002]]"
"84","2023-11-05","[[0.006967],[0.005293],[0.002541],[0.006705],[0.010051]]"
"85","2023-11-06","[[0.006972],[0.005289],[0.002561],[0.006705],[0.01009]]"
"86","2023-11-07","[[0.006972],[0.005283],[0.002582],[0.006695],[0.01012]]"
"87","2023-11-08","[[0.006968],[0.005275],[0.002601],[0.006675],[0.010139]]"
"88","2023-11-09","[[0.00696],[0.005264],[0.00262],[0.006645],[0.010148]]"
"89","2023-11-10","[[0.006948],[0.005251],[0.002639],[0.006606],[0.010147]]"
"90","2023-11-11","[[0.006931],[0.005236],[0.002656],[0.006558],[0.010135]]"
"91","2023-11-12","[[0.006911],[0.005219],[0.002673],[0.006501],[0.010114]]"
"92","2023-11-13","[[0.006887],[0.005199],[0.002689],[0.006435],[0.010082]]"
"93","2023-11-14","[[0.006858],[0.005177],[0.002705],[0.00636],[0.01004]]"
"94","2023-11-15","[[0.006826],[0.005153],[0.00272],[0.006278],[0.009988]]"
"95","2023-11-16","[[0.00679],[0.005127],[0.002734],[0.006189],[0.009927]]"
"96","2023-11-17","[[0.00675],[0.005099],[0.002747],[0.006092],[0.009856]]"
"97","2023-11-18","[[0.006706],[0.005069],[0.00276],[0.005989],[0.009777]]"
"98","2023-11-19","[[0.006659],[0.005037],[0.002771],[0.00588],[0.009688]]"
"99","2023-11-20","[[0.006609],[0.005003],[0.002782],[0.005766],[0.009591]]"
"100","2023-11-21","[[0.006555],[0.004968],[0.002792],[0.005647],[0.009486]]"
"101","2023-11-22","[[0.006498],[0.00493],[0.002801],[0.005523],[0.009373]]"
"102","2023-11-23","[[0.006438],[0.004891],[0.00281],[0.005395],[0.009253]]"
"103","2023-11-24","[[0.006375],[0.00485],[0.002817],[0.005265],[0.009126]]"
"104","2023-11-25","[[0.006309],[0.004807],[0.002824],[0.005131],[0.008993]]"
"105","2023-11-26","[[0.00624],[0.004763],[0.00283],[0.004996],[0.008853]]"
"106","2023-11-27","[[0.006169],[0.004718],[0.002834],[0.004858],[0.008708]]"
"107","2023-11-28","[[0.006095],[0.004671],[0.002838],[0.004719],[0.008559]]"
"108","2023-11-29","[[0.006019],[0.004623],[0.002841],[0.00458],[0.008404]]"
"109","2023-11-30","[[0.005941],[0.004573],[0.002844],[0.00444],[0.008245]]"
"110","2023-12-01","[[0.005861],[0.004523],[0.002845],[0.0043],[0.008083]]"
"111","2023-12-02","[[0.005779],[0.004471],[0.002845],[0.004161],[0.007917]]"
"112","2023-12-03","[[0.005696],[0.004418],[0.002844],[0.004023],[0.007749]]"
"113","2023-12-04","[[0.005611],[0.004364],[0.002843],[0.003886],[0.007579]]"
"114","2023-12-05","[[0.005524],[0.004309],[0.00284],[0.00375],[0.007406]]"
"115","2023-12-06","[[0.005437],[0.004254],[0.002837],[0.003616],[0.007232]]"
"116","2023-12-07","[[0.005348],[0.004197],[0.002833],[0.003484],[0.007058]]"
"117","2023-12-08","[[0.005258],[0.00414],[0.002828],[0.003354],[0.006882]]"
"118","2023-12-09","[[0.005167],[0.004083],[0.002822],[0.003227],[0.006707]]"
"119","2023-12-10","[[0.005076],[0.004025],[0.002815],[0.003103],[0.006531]]"
"120","2023-12-11","[[0.004984],[0.003966],[0.002807],[0.002981],[0.006356]]"
"121","2023-12-12","[[0.004892],[0.003907],[0.002798],[0.002862],[0.006182]]"
"122","2023-12-13","[[0.004799],[0.003847],[0.002789],[0.002746],[0.006008]]"
"123","2023-12-14","[[0.004706],[0.003787],[0.002779],[0.002633],[0.005836]]"
"124","2023-12-15","[[0.004614],[0.003727],[0.002768],[0.002524],[0.005666]]"
"125","2023-12-16","[[0.004521],[0.003667],[0.002756],[0.002417],[0.005498]]"
"126","2023-12-17","[[0.004428],[0.003606],[0.002743],[0.002314],[0.005332]]"
"127","2023-12-18","[[0.004336],[0.003546],[0.002729],[0.002215],[0.005168]]"
"128","2023-12-19","[[0.004244],[0.003486],[0.002715],[0.002118],[0.005006]]"
"129","2023-12-20","[[0.004152],[0.003425],[0.0027],[0.002025],[0.004847]]"
"130","2023-12-21","[[0.004061],[0.003365],[0.002684],[0.001935],[0.004691]]"
"131","2023-12-22","[[0.00397],[0.003304],[0.002668],[0.001848],[0.004538]]"
"132","2023-12-23","[[0.003881],[0.003244],[0.00265],[0.001764],[0.004387]]"
"133","2023-12-24","[[0.003792],[0.003185],[0.002632],[0.001684],[0.00424]]"
"134","2023-12-25","[[0.003703],[0.003125],[0.002614],[0.001606],[0.004096]]"
"135","2023-12-26","[[0.003616],[0.003066],[0.002595],[0.001532],[0.003956]]"
"136","2023-12-27","[[0.00353],[0.003007],[0.002575],[0.001461],[0.003818]]"
"137","2023-12-28","[[0.003445],[0.002949],[0.002555],[0.001392],[0.003685]]"
"138","2023-12-29","[[0.00336],[0.002891],[0.002534],[0.001326],[0.003554]]"
"139","2023-12-30","[[0.003277],[0.002833],[0.002512],[0.001263],[0.003427]]"
"140","2023-12-31","[[0.003195],[0.002776],[0.00249],[0.001203],[0.003303]]"
"141","2024-01-01","[[0.003114],[0.002719],[0.002468],[0.001145],[0.003183]]"
"142","2024-01-02","[[0.003035],[0.002663],[0.002445],[0.00109],[0.003066]]"
"143","2024-01-03","[[0.002957],[0.002608],[0.002421],[0.001037],[0.002952]]"
"144","2024-01-04","[[0.00288],[0.002553],[0.002397],[0.000987],[0.002842]]"
"145","2024-01-05","[[0.002804],[0.002499],[0.002373],[0.000938],[0.002735]]"
"146","2024-01-06","[[0.00273],[0.002445],[0.002348],[0.000892],[0.002632]]"
"147","2024-01-07","[[0.002657],[0.002392],[0.002323],[0.000848],[0.002532]]"
"148","2024-01-08","[[0.002585],[0.00234],[0.002298],[0.000806],[0.002435]]"
"149","2024-01-09","[[0.002515],[0.002289],[0.002272],[0.000766],[0.002341]]"
"150","2024-01-10","[[0.002446],[0.002238],[0.002246],[0.000728],[0.00225]]"
"151","2024-01-11","[[0.002378],[0.002188],[0.00222],[0.000692],[0.002162]]"
"152","2024-01-12","[[0.002312],[0.002138],[0.002194],[0.000657],[0.002077]]"
"153","2024-01-13","[[0.002247],[0.00209],[0.002167],[0.000624],[0.001996]]"
"154","2024-01-14","[[0.002184],[0.002042],[0.00214],[0.000593],[0.001916]]"
"155","2024-01-15","[[0.002122],[0.001995],[0.002113],[0.000563],[0.00184]]"
"156","2024-01-16","[[0.002062],[0.001948],[0.002086],[0.000534],[0.001767]]"
"157","2024-01-17","[[0.002002],[0.001903],[0.002059],[0.000507],[0.001696]]"
"158","2024-01-18","[[0.001945],[0.001858],[0.002031],[0.000482],[0.001627]]"
"159","2024-01-19","[[0.001888],[0.001814],[0.002004],[0.000457],[0.001562]]"
"160","2024-01-20","[[0.001833],[0.001771],[0.001976],[0.000434],[0.001498]]"
"161","2024-01-21","[[0.001779],[0.001728],[0.001948],[0.000412],[0.001437]]"
"162","2024-01-22","[[0.001727],[0.001686],[0.001921],[0.000391],[0.001378]]"
"163","2024-01-23","[[0.001676],[0.001645],[0.001893],[0.00037],[0.001322]]"
"164","2024-01-24","[[0.001626],[0.001605],[0.001865],[0.000351],[0.001268]]"
"165","2024-01-25","[[0.001577],[0.001566],[0.001838],[0.000333],[0.001215]]"
"166","2024-01-26","[[0.00153],[0.001527],[0.00181],[0.000316],[0.001165]]"
"167","2024-01-27","[[0.001484],[0.001489],[0.001782],[0.0003],[0.001117]]"
"168","2024-01-28","[[0.001439],[0.001452],[0.001755],[0.000284],[0.00107]]"
"169","2024-01-29","[[0.001395],[0.001416],[0.001727],[0.00027],[0.001026]]"
"170","2024-01-30","[[0.001352],[0.00138],[0.0017],[0.000256],[0.000983]]"
"171","2024-01-31","[[0.001311],[0.001346],[0.001673],[0.000243],[0.000942]]"
"172","2024-02-01","[[0.00127],[0.001311],[0.001646],[0.00023],[0.000902]]"
"173","2024-02-02","[[0.001231],[0.001278],[0.001619],[0.000218],[0.000864]]"
"174","2024-02-03","[[0.001193],[0.001245],[0.001592],[0.000207],[0.000828]]"
"175","2024-02-04","[[0.001156],[0.001213],[0.001565],[0.000196],[0.000793]]"
"176","2024-02-05","[[0.00112],[0.001182],[0.001539],[0.000186],[0.000759]]"
"177","2024-02-06","[[0.001085],[0.001152],[0.001512],[0.000176],[0.000727]]"
"178","2024-02-07","[[0.001051],[0.001122],[0.001486],[0.000167],[0.000696]]"
"179","2024-02-08","[[0.001018],[0.001092],[0.00146],[0.000158],[0.000667]]"
"180","2024-02-09","[[0.000986],[0.001064],[0.001435],[0.00015],[0.000638]]"
"181","2024-02-10","[[0.000955],[0.001036],[0.001409],[0.000142],[0.000611]]"
"182","2024-02-11","[[0.000925],[0.001009],[0.001384],[0.000135],[0.000585]]"
"183","2024-02-12","[[0.000895],[0.000982],[0.001359],[0.000128],[0.00056]]"
"184","2024-02-13","[[0.000867],[0.000956],[0.001334],[0.000121],[0.000536]]"
"185","2024-02-14","[[0.000839],[0.000931],[0.00131],[0.000115],[0.000513]]"
"186","2024-02-15","[[0.000812],[0.000906],[0.001286],[0.000109],[0.000491]]"
"187","2024-02-16","[[0.000786],[0.000882],[0.001262],[0.000103],[0.00047]]"
"188","2024-02-17","[[0.000761],[0.000858],[0.001238],[0.000098],[0.00045]]"
"189","2024-02-18","[[0.000736],[0.000835],[0.001215],[0.000093],[0.00043]]"
"190","2024-02-19","[[0.000713],[0.000813],[0.001192],[0.000088],[0.000412]]"
"191","2024-02-20","[[0.00069],[0.000791],[0.001169],[0.000083],[0.000394]]"
"192","2024-02-21","[[0.000667],[0.000769],[0.001146],[0.000079],[0.000377]]"
"193","2024-02-22","[[0.000646],[0.000748],[0.001124],[0.000075],[0.000361]]"
"194","2024-02-23","[[0.000625],[0.000728],[0.001102],[0.000071],[0.000345]]"
"195","2024-02-24","[[0.000605],[0.000708],[0.00108],[0.000067],[0.00033]]"
"196","2024-02-25","[[0.000585],[0.000689],[0.001059],[0.000063],[0.000316]]"
"197","2024-02-26","[[0.000566],[0.00067],[0.001038],[0.00006],[0.000302]]"
"198","2024-02-27","[[0.000547],[0.000652],[0.001017],[0.000057],[0.000289]]"
"199","2024-02-28","[[0.000529],[0.000634],[0.000996],[0.000054],[0.000277]]"
"200","2024-02-29","[[0.000512],[0.000617],[0.000976],[0.000051],[0.000265]]"
"201","2024-03-01","[[0.000495],[0.0006],[0.000956],[0.000048],[0.000253]]"
"202","2024-03-02","[[0.000479],[0.000583],[0.000937],[0.000046],[0.000242]]"
"203","2024-03-03","[[0.000463],[0.000567],[0.000918],[0.000044],[0.000232]]"
"204","2024-03-04","[[0.000448],[0.000551],[0.000899],[0.000041],[0.000221]]"
"205","2024-03-05","[[0.000433],[0.000536],[0.00088],[0.000039],[0.000212]]"
"206","2024-03-06","[[0.000419],[0.000521],[0.000862],[0.000037],[0.000203]]"
"207","2024-03-07","[[0.000405],[0.000507],[0.000844],[0.000035],[0.000194]]"
"208","2024-03-08","[[0.000392],[0.000492],[0.000826],[0.000033],[0.000185]]"
"209","2024-03-09","[[0.000379],[0.000479],[0.000808],[0.000031],[0.000177]]"
"210","2024-03-10","[[0.000366],[0.000465],[0.000791],[0.00003],[0.00017]]"
"211","2024-03-11","[[0.000354],[0.000452],[0.000774],[0.000028],[0.000162]]"
"212","2024-03-12","[[0.000342],[0.00044],[0.000758],[0.000027],[0.000155]]"
"213","2024-03-13","[[0.000331],[0.000427],[0.000741],[0.000025],[0.000148]]"
"214","2024-03-14","[[0.00032],[0.000415],[0.000725],[0.000024],[0.000142]]"
"215","2024-03-15","[[0.000309],[0.000404],[0.00071],[0.000023],[0.000136]]"
